sl_no,image_id,fruit_name,label
30,FreshApple (31),Apple,Healthy
31,FreshApple (135),Apple,Healthy
32,rotated_by_45_Screen Shot 2018-06-08 at 5.11.59 PM,Apple,Healthy
33,saltandpepper_Screen Shot 2018-06-08 at 5.33.47 PM,Apple,Healthy
34,translation_Screen Shot 2018-06-08 at 5.14.01 PM,Apple,Healthy
35,rotated_by_45_Screen Shot 2018-06-08 at 5.08.46 PM,Apple,Healthy
36,vertical_flip_Screen Shot 2018-06-08 at 5.15.52 PM,Apple,Healthy
37,rotated_by_30_Screen Shot 2018-06-08 at 5.20.56 PM,Apple,Healthy
38,translation_Screen Shot 2018-06-08 at 5.00.03 PM,Apple,Healthy
39,FreshApple (42),Apple,Healthy
40,translation_Screen Shot 2018-06-08 at 5.12.20 PM,Apple,Healthy
41,Screen Shot 2018-06-08 at 5.34.01 PM,Apple,Healthy
42,freshApple (293),Apple,Healthy
43,translation_Screen Shot 2018-06-08 at 5.17.34 PM,Apple,Healthy
44,rotated_by_75_Screen Shot 2018-06-08 at 5.00.12 PM,Apple,Healthy
45,rotated_by_15_Screen Shot 2018-06-08 at 5.24.12 PM,Apple,Healthy
46,rotated_by_75_Screen Shot 2018-06-08 at 5.18.26 PM,Apple,Healthy
47,rotated_by_75_Screen Shot 2018-06-08 at 5.05.41 PM,Apple,Healthy
48,rotated_by_75_Screen Shot 2018-06-08 at 5.34.07 PM,Apple,Healthy
49,freshApple (597),Apple,Healthy
50,vertical_flip_Screen Shot 2018-06-08 at 5.25.28 PM,Apple,Healthy
51,freshApple (206),Apple,Healthy
52,translation_Screen Shot 2018-06-08 at 5.11.16 PM,Apple,Healthy
53,rotated_by_60_Screen Shot 2018-06-08 at 5.14.48 PM,Apple,Healthy
54,rotated_by_15_Screen Shot 2018-06-08 at 5.12.56 PM,Apple,Healthy
55,rotated_by_15_Screen Shot 2018-06-08 at 5.13.40 PM,Apple,Healthy
56,FreshApple (122),Apple,Healthy
57,rotated_by_15_Screen Shot 2018-06-08 at 5.18.58 PM,Apple,Healthy
58,translation_Screen Shot 2018-06-08 at 5.22.58 PM,Apple,Healthy
59,rotated_by_30_Screen Shot 2018-06-08 at 5.12.20 PM,Apple,Healthy
60,rotated_by_30_Screen Shot 2018-06-08 at 5.22.58 PM,Apple,Healthy
61,FreshApple (149),Apple,Healthy
62,freshApple (239),Apple,Healthy
63,Screen Shot 2018-06-08 at 5.22.27 PM,Apple,Healthy
64,rotated_by_60_Screen Shot 2018-06-08 at 5.25.28 PM,Apple,Healthy
65,freshApple (603),Apple,Healthy
66,rotated_by_45_Screen Shot 2018-06-08 at 5.02.08 PM,Apple,Healthy
67,Screen Shot 2018-06-08 at 5.01.34 PM,Apple,Healthy
68,rotated_by_75_Screen Shot 2018-06-08 at 5.07.26 PM,Apple,Healthy
69,rotated_by_75_Screen Shot 2018-06-08 at 5.08.05 PM,Apple,Healthy
70,freshApple (601),Apple,Healthy
71,freshApple (824),Apple,Healthy
72,rotated_by_30_Screen Shot 2018-06-08 at 5.28.48 PM,Apple,Healthy
73,FreshApple (43),Apple,Healthy
74,freshApple (635),Apple,Healthy
75,rotated_by_45_Screen Shot 2018-06-08 at 5.07.26 PM,Apple,Healthy
76,freshApple (223),Apple,Healthy
77,saltandpepper_Screen Shot 2018-06-08 at 5.10.21 PM,Apple,Healthy
78,freshApple (225),Apple,Healthy
79,Screen Shot 2018-06-08 at 5.22.15 PM,Apple,Healthy
80,translation_Screen Shot 2018-06-08 at 5.24.26 PM,Apple,Healthy
81,rotated_by_15_Screen Shot 2018-06-08 at 5.21.51 PM,Apple,Healthy
82,FreshApple (32),Apple,Healthy
83,freshApple (236),Apple,Healthy
84,rotated_by_60_Screen Shot 2018-06-08 at 5.04.48 PM,Apple,Healthy
85,freshApple (299),Apple,Healthy
86,freshApple (539),Apple,Healthy
87,rotated_by_60_Screen Shot 2018-06-08 at 5.28.04 PM,Apple,Healthy
88,rotated_by_45_Screen Shot 2018-06-08 at 5.21.40 PM,Apple,Healthy
89,rotated_by_45_Screen Shot 2018-06-08 at 5.25.49 PM,Apple,Healthy
90,rotated_by_60_Screen Shot 2018-06-08 at 5.13.45 PM,Apple,Healthy
91,saltandpepper_Screen Shot 2018-06-08 at 5.29.24 PM,Apple,Healthy
92,rotated_by_60_Screen Shot 2018-06-08 at 5.00.43 PM,Apple,Healthy
93,rotated_by_45_Screen Shot 2018-06-08 at 5.05.34 PM,Apple,Healthy
94,rotated_by_15_Screen Shot 2018-06-08 at 5.22.58 PM,Apple,Healthy
95,vertical_flip_Screen Shot 2018-06-08 at 5.03.05 PM,Apple,Healthy
96,freshApple (723),Apple,Healthy
97,rotated_by_75_Screen Shot 2018-06-08 at 5.15.52 PM,Apple,Healthy
98,rotated_by_30_Screen Shot 2018-06-08 at 5.07.18 PM,Apple,Healthy
99,rotated_by_60_Screen Shot 2018-06-08 at 5.05.06 PM,Apple,Healthy
100,rotated_by_15_Screen Shot 2018-06-08 at 5.00.26 PM,Apple,Healthy
101,freshApple (463),Apple,Healthy
102,rotated_by_30_Screen Shot 2018-06-08 at 5.11.02 PM,Apple,Healthy
103,translation_Screen Shot 2018-06-08 at 5.08.05 PM,Apple,Healthy
104,freshApple (797),Apple,Healthy
105,freshApple (788),Apple,Healthy
106,freshApple (312),Apple,Healthy
107,rotated_by_15_Screen Shot 2018-06-08 at 5.20.56 PM,Apple,Healthy
108,rotated_by_45_Screen Shot 2018-06-08 at 5.04.24 PM,Apple,Healthy
109,rotated_by_60_Screen Shot 2018-06-08 at 5.15.01 PM,Apple,Healthy
110,rotated_by_30_Screen Shot 2018-06-08 at 5.13.18 PM,Apple,Healthy
111,rotated_by_45_Screen Shot 2018-06-08 at 5.33.33 PM,Apple,Healthy
112,freshApple (778),Apple,Healthy
113,freshApple (459),Apple,Healthy
114,freshApple (460),Apple,Healthy
115,rotated_by_60_Screen Shot 2018-06-08 at 5.05.48 PM,Apple,Healthy
116,FreshApple (143),Apple,Healthy
117,rotated_by_30_Screen Shot 2018-06-08 at 5.22.20 PM,Apple,Healthy
118,translation_Screen Shot 2018-06-08 at 5.20.08 PM,Apple,Healthy
119,freshApple (820),Apple,Healthy
120,rotated_by_60_Screen Shot 2018-06-08 at 5.14.20 PM,Apple,Healthy
121,rotated_by_75_Screen Shot 2018-06-08 at 5.09.17 PM,Apple,Healthy
122,Screen Shot 2018-06-08 at 5.16.16 PM,Apple,Healthy
123,rotated_by_30_Screen Shot 2018-06-08 at 5.19.58 PM,Apple,Healthy
124,rotated_by_15_Screen Shot 2018-06-08 at 5.03.59 PM,Apple,Healthy
125,freshApple (503),Apple,Healthy
126,rotated_by_75_Screen Shot 2018-06-08 at 5.22.48 PM,Apple,Healthy
127,saltandpepper_Screen Shot 2018-06-08 at 5.19.28 PM,Apple,Healthy
128,rotated_by_15_Screen Shot 2018-06-08 at 5.27.06 PM,Apple,Healthy
129,rotated_by_60_Screen Shot 2018-06-08 at 5.02.08 PM,Apple,Healthy
130,rotated_by_30_Screen Shot 2018-06-08 at 5.21.31 PM,Apple,Healthy
131,vertical_flip_Screen Shot 2018-06-08 at 5.03.47 PM,Apple,Healthy
132,freshApple (530),Apple,Healthy
133,freshApple (285),Apple,Healthy
134,rotated_by_75_Screen Shot 2018-06-08 at 5.18.51 PM,Apple,Healthy
135,saltandpepper_Screen Shot 2018-06-08 at 5.25.54 PM,Apple,Healthy
136,freshApple (275),Apple,Healthy
137,freshApple (287),Apple,Healthy
138,rotated_by_60_Screen Shot 2018-06-08 at 5.19.58 PM,Apple,Healthy
139,rotated_by_60_Screen Shot 2018-06-08 at 5.24.26 PM,Apple,Healthy
140,freshApple (305),Apple,Healthy
141,vertical_flip_Screen Shot 2018-06-08 at 5.23.31 PM,Apple,Healthy
142,rotated_by_15_Screen Shot 2018-06-08 at 5.00.50 PM,Apple,Healthy
143,freshApple (759),Apple,Healthy
144,vertical_flip_Screen Shot 2018-06-08 at 5.18.42 PM,Apple,Healthy
145,rotated_by_45_Screen Shot 2018-06-08 at 4.59.57 PM,Apple,Healthy
146,rotated_by_15_Screen Shot 2018-06-08 at 5.33.33 PM,Apple,Healthy
147,freshApple (559),Apple,Healthy
148,FreshApple (44),Apple,Healthy
149,rotated_by_30_Screen Shot 2018-06-08 at 5.04.59 PM,Apple,Healthy
150,translation_Screen Shot 2018-06-08 at 5.24.35 PM,Apple,Healthy
151,rotated_by_60_Screen Shot 2018-06-08 at 5.13.10 PM,Apple,Healthy
152,freshApple (809),Apple,Healthy
153,vertical_flip_Screen Shot 2018-06-08 at 5.15.45 PM,Apple,Healthy
154,FreshApple (110),Apple,Healthy
155,rotated_by_75_Screen Shot 2018-06-08 at 5.02.08 PM,Apple,Healthy
156,freshApple (529),Apple,Healthy
157,rotated_by_15_Screen Shot 2018-06-08 at 5.15.09 PM,Apple,Healthy
158,rotated_by_60_Screen Shot 2018-06-08 at 5.06.28 PM,Apple,Healthy
159,rotated_by_15_Screen Shot 2018-06-08 at 5.08.52 PM,Apple,Healthy
160,freshApple (531),Apple,Healthy
161,freshApple (609),Apple,Healthy
162,vertical_flip_Screen Shot 2018-06-08 at 5.10.37 PM,Apple,Healthy
163,saltandpepper_Screen Shot 2018-06-08 at 5.03.10 PM,Apple,Healthy
164,vertical_flip_Screen Shot 2018-06-08 at 5.09.25 PM,Apple,Healthy
165,rotated_by_45_Screen Shot 2018-06-08 at 5.23.23 PM,Apple,Healthy
166,rotated_by_75_Screen Shot 2018-06-08 at 5.25.33 PM,Apple,Healthy
167,freshApple (1),Apple,Healthy
168,FreshApple (92),Apple,Healthy
169,rotated_by_45_Screen Shot 2018-06-08 at 5.26.13 PM,Apple,Healthy
170,freshApple (626),Apple,Healthy
171,Screen Shot 2018-06-08 at 5.33.11 PM,Apple,Healthy
172,rotated_by_15_Screen Shot 2018-06-08 at 5.10.03 PM,Apple,Healthy
173,freshApple (572),Apple,Healthy
174,freshApple (262),Apple,Healthy
175,rotated_by_15_Screen Shot 2018-06-08 at 5.29.07 PM,Apple,Healthy
176,rotated_by_60_Screen Shot 2018-06-08 at 5.03.59 PM,Apple,Healthy
177,freshApple (836),Apple,Healthy
178,rotated_by_30_Screen Shot 2018-06-08 at 5.06.54 PM,Apple,Healthy
179,freshApple (791),Apple,Healthy
180,rotated_by_15_Screen Shot 2018-06-08 at 5.03.26 PM,Apple,Healthy
181,Screen Shot 2018-06-08 at 5.12.34 PM,Apple,Healthy
182,saltandpepper_Screen Shot 2018-06-08 at 5.16.16 PM,Apple,Healthy
183,rotated_by_75_Screen Shot 2018-06-08 at 5.21.51 PM,Apple,Healthy
184,rotated_by_15_Screen Shot 2018-06-08 at 5.06.47 PM,Apple,Healthy
185,saltandpepper_Screen Shot 2018-06-08 at 5.29.07 PM,Apple,Healthy
186,rotated_by_60_Screen Shot 2018-06-08 at 5.02.24 PM,Apple,Healthy
187,rotated_by_15_Screen Shot 2018-06-08 at 5.11.16 PM,Apple,Healthy
188,vertical_flip_Screen Shot 2018-06-08 at 5.10.03 PM,Apple,Healthy
189,translation_Screen Shot 2018-06-08 at 5.15.14 PM,Apple,Healthy
190,freshApple (261),Apple,Healthy
191,vertical_flip_Screen Shot 2018-06-08 at 5.25.33 PM,Apple,Healthy
192,translation_Screen Shot 2018-06-08 at 5.00.43 PM,Apple,Healthy
193,vertical_flip_Screen Shot 2018-06-08 at 5.24.35 PM,Apple,Healthy
194,rotated_by_75_Screen Shot 2018-06-08 at 5.28.24 PM,Apple,Healthy
195,freshApple (753),Apple,Healthy
196,FreshApple (153),Apple,Healthy
197,translation_Screen Shot 2018-06-08 at 5.15.09 PM,Apple,Healthy
198,rotated_by_60_Screen Shot 2018-06-08 at 5.21.35 PM,Apple,Healthy
199,freshApple (440),Apple,Healthy
200,rotated_by_60_Screen Shot 2018-06-08 at 5.20.56 PM,Apple,Healthy
201,FreshApple (178),Apple,Healthy
202,rotated_by_75_Screen Shot 2018-06-08 at 5.01.15 PM,Apple,Healthy
203,vertical_flip_Screen Shot 2018-06-08 at 5.14.01 PM,Apple,Healthy
204,FreshApple (198),Apple,Healthy
205,freshApple (803),Apple,Healthy
206,freshApple (264),Apple,Healthy
207,rotated_by_15_Screen Shot 2018-06-08 at 5.17.22 PM,Apple,Healthy
208,rotated_by_15_Screen Shot 2018-06-08 at 5.20.17 PM,Apple,Healthy
209,rotated_by_15_Screen Shot 2018-06-08 at 5.13.02 PM,Apple,Healthy
210,rotated_by_30_Screen Shot 2018-06-08 at 5.26.58 PM,Apple,Healthy
211,rotated_by_15_Screen Shot 2018-06-08 at 5.01.22 PM,Apple,Healthy
212,rotated_by_75_Screen Shot 2018-06-08 at 5.12.20 PM,Apple,Healthy
213,FreshApple (30),Apple,Healthy
214,rotated_by_30_Screen Shot 2018-06-08 at 5.13.40 PM,Apple,Healthy
215,freshApple (437),Apple,Healthy
216,rotated_by_45_Screen Shot 2018-06-08 at 5.26.36 PM,Apple,Healthy
217,FreshApple (6),Apple,Healthy
218,translation_Screen Shot 2018-06-08 at 5.01.22 PM,Apple,Healthy
219,rotated_by_30_Screen Shot 2018-06-08 at 5.25.37 PM,Apple,Healthy
220,vertical_flip_Screen Shot 2018-06-08 at 5.22.20 PM,Apple,Healthy
221,FreshApple (70),Apple,Healthy
222,Screen Shot 2018-06-08 at 5.06.54 PM,Apple,Healthy
223,rotated_by_30_Screen Shot 2018-06-08 at 5.23.07 PM,Apple,Healthy
224,rotated_by_30_Screen Shot 2018-06-08 at 5.02.43 PM,Apple,Healthy
225,freshApple (694),Apple,Healthy
226,vertical_flip_Screen Shot 2018-06-08 at 5.19.28 PM,Apple,Healthy
227,Screen Shot 2018-06-08 at 5.19.15 PM,Apple,Healthy
228,translation_Screen Shot 2018-06-08 at 5.34.21 PM,Apple,Healthy
229,rotated_by_75_Screen Shot 2018-06-08 at 5.03.59 PM,Apple,Healthy
230,freshApple (670),Apple,Healthy
231,freshApple (776),Apple,Healthy
232,Screen Shot 2018-06-08 at 5.01.08 PM,Apple,Healthy
233,freshApple (256),Apple,Healthy
234,freshApple (271),Apple,Healthy
235,Screen Shot 2018-06-08 at 4.59.36 PM,Apple,Healthy
236,vertical_flip_Screen Shot 2018-06-08 at 4.59.36 PM,Apple,Healthy
237,vertical_flip_Screen Shot 2018-06-08 at 5.01.41 PM,Apple,Healthy
238,rotated_by_15_Screen Shot 2018-06-08 at 5.10.11 PM,Apple,Healthy
239,translation_Screen Shot 2018-06-08 at 5.13.31 PM,Apple,Healthy
240,FreshApple (82),Apple,Healthy
241,saltandpepper_Screen Shot 2018-06-08 at 5.18.12 PM,Apple,Healthy
242,saltandpepper_Screen Shot 2018-06-08 at 5.26.41 PM,Apple,Healthy
243,translation_Screen Shot 2018-06-08 at 5.15.28 PM,Apple,Healthy
244,FreshApple (185),Apple,Healthy
245,vertical_flip_Screen Shot 2018-06-08 at 5.22.48 PM,Apple,Healthy
246,FreshApple (167),Apple,Healthy
247,rotated_by_75_Screen Shot 2018-06-08 at 5.15.39 PM,Apple,Healthy
248,freshApple (589),Apple,Healthy
249,translation_Screen Shot 2018-06-08 at 5.03.26 PM,Apple,Healthy
250,rotated_by_30_Screen Shot 2018-06-08 at 5.01.01 PM,Apple,Healthy
251,rotated_by_45_Screen Shot 2018-06-08 at 5.03.59 PM,Apple,Healthy
252,rotated_by_75_Screen Shot 2018-06-08 at 5.14.07 PM,Apple,Healthy
253,Screen Shot 2018-06-08 at 5.03.34 PM,Apple,Healthy
254,FreshApple (55),Apple,Healthy
255,vertical_flip_Screen Shot 2018-06-08 at 5.07.52 PM,Apple,Healthy
256,FreshApple (86),Apple,Healthy
257,Screen Shot 2018-06-08 at 5.09.03 PM,Apple,Healthy
258,rotated_by_75_Screen Shot 2018-06-08 at 5.27.34 PM,Apple,Healthy
259,freshApple (611),Apple,Healthy
260,freshApple (764),Apple,Healthy
261,freshApple (573),Apple,Healthy
262,freshApple (784),Apple,Healthy
263,freshApple (532),Apple,Healthy
264,rotated_by_60_Screen Shot 2018-06-08 at 5.32.38 PM,Apple,Healthy
265,vertical_flip_Screen Shot 2018-06-08 at 5.23.51 PM,Apple,Healthy
266,saltandpepper_Screen Shot 2018-06-08 at 5.20.42 PM,Apple,Healthy
267,freshApple (546),Apple,Healthy
268,rotated_by_60_Screen Shot 2018-06-08 at 5.23.14 PM,Apple,Healthy
269,freshApple (822),Apple,Healthy
270,saltandpepper_Screen Shot 2018-06-08 at 5.15.01 PM,Apple,Healthy
271,rotated_by_60_Screen Shot 2018-06-08 at 5.33.55 PM,Apple,Healthy
272,freshApple (509),Apple,Healthy
273,rotated_by_30_Screen Shot 2018-06-08 at 5.21.06 PM,Apple,Healthy
274,FreshApple (57),Apple,Healthy
275,rotated_by_30_Screen Shot 2018-06-08 at 5.00.18 PM,Apple,Healthy
276,rotated_by_15_Screen Shot 2018-06-08 at 5.29.18 PM,Apple,Healthy
277,saltandpepper_Screen Shot 2018-06-08 at 5.09.54 PM,Apple,Healthy
278,translation_Screen Shot 2018-06-08 at 5.28.32 PM,Apple,Healthy
279,FreshApple (91),Apple,Healthy
280,freshApple (218),Apple,Healthy
281,translation_Screen Shot 2018-06-08 at 5.24.12 PM,Apple,Healthy
282,rotated_by_15_Screen Shot 2018-06-08 at 5.21.31 PM,Apple,Healthy
283,rotated_by_45_Screen Shot 2018-06-08 at 5.18.58 PM,Apple,Healthy
284,Screen Shot 2018-06-08 at 5.24.35 PM,Apple,Healthy
285,rotated_by_15_Screen Shot 2018-06-08 at 5.19.58 PM,Apple,Healthy
286,rotated_by_30_Screen Shot 2018-06-08 at 5.06.47 PM,Apple,Healthy
287,saltandpepper_Screen Shot 2018-06-08 at 5.03.40 PM,Apple,Healthy
288,Screen Shot 2018-06-08 at 5.10.21 PM,Apple,Healthy
289,translation_Screen Shot 2018-06-08 at 5.16.28 PM,Apple,Healthy
290,rotated_by_60_Screen Shot 2018-06-08 at 5.01.15 PM,Apple,Healthy
291,saltandpepper_Screen Shot 2018-06-08 at 5.15.09 PM,Apple,Healthy
292,rotated_by_75_Screen Shot 2018-06-08 at 5.10.37 PM,Apple,Healthy
293,rotated_by_60_Screen Shot 2018-06-08 at 5.10.53 PM,Apple,Healthy
294,rotated_by_15_Screen Shot 2018-06-08 at 5.18.26 PM,Apple,Healthy
295,translation_Screen Shot 2018-06-08 at 5.28.15 PM,Apple,Healthy
296,saltandpepper_Screen Shot 2018-06-08 at 5.22.15 PM,Apple,Healthy
297,freshApple (798),Apple,Healthy
298,rotated_by_60_Screen Shot 2018-06-08 at 5.15.14 PM,Apple,Healthy
299,rotated_by_60_Screen Shot 2018-06-08 at 5.18.12 PM,Apple,Healthy
300,Screen Shot 2018-06-08 at 5.19.47 PM,Apple,Healthy
301,rotated_by_45_Screen Shot 2018-06-08 at 5.01.15 PM,Apple,Healthy
302,freshApple (300),Apple,Healthy
303,saltandpepper_Screen Shot 2018-06-08 at 5.26.13 PM,Apple,Healthy
304,translation_Screen Shot 2018-06-08 at 5.00.26 PM,Apple,Healthy
305,rotated_by_75_Screen Shot 2018-06-08 at 5.04.59 PM,Apple,Healthy
306,freshApple (496),Apple,Healthy
307,rotated_by_75_Screen Shot 2018-06-08 at 5.28.15 PM,Apple,Healthy
308,freshApple (446),Apple,Healthy
309,rotated_by_60_Screen Shot 2018-06-08 at 5.25.22 PM,Apple,Healthy
310,rotated_by_60_Screen Shot 2018-06-08 at 5.12.47 PM,Apple,Healthy
311,freshApple (634),Apple,Healthy
312,vertical_flip_Screen Shot 2018-06-08 at 5.34.14 PM,Apple,Healthy
313,saltandpepper_Screen Shot 2018-06-08 at 5.09.10 PM,Apple,Healthy
314,saltandpepper_Screen Shot 2018-06-08 at 5.15.39 PM,Apple,Healthy
315,FreshApple (190),Apple,Healthy
316,translation_Screen Shot 2018-06-08 at 5.05.12 PM,Apple,Healthy
317,rotated_by_60_Screen Shot 2018-06-08 at 5.22.53 PM,Apple,Healthy
318,vertical_flip_Screen Shot 2018-06-08 at 5.10.11 PM,Apple,Healthy
319,vertical_flip_Screen Shot 2018-06-08 at 5.28.15 PM,Apple,Healthy
320,rotated_by_30_Screen Shot 2018-06-08 at 5.34.01 PM,Apple,Healthy
321,saltandpepper_Screen Shot 2018-06-08 at 5.34.07 PM,Apple,Healthy
322,rotated_by_15_Screen Shot 2018-06-08 at 5.06.33 PM,Apple,Healthy
323,freshApple (205),Apple,Healthy
324,rotated_by_75_Screen Shot 2018-06-08 at 5.26.36 PM,Apple,Healthy
325,rotated_by_60_Screen Shot 2018-06-08 at 5.10.43 PM,Apple,Healthy
326,rotated_by_15_Screen Shot 2018-06-08 at 5.17.10 PM,Apple,Healthy
327,rotated_by_15_Screen Shot 2018-06-08 at 5.33.27 PM,Apple,Healthy
328,freshApple (832),Apple,Healthy
329,saltandpepper_Screen Shot 2018-06-08 at 5.10.43 PM,Apple,Healthy
330,Screen Shot 2018-06-08 at 5.22.58 PM,Apple,Healthy
331,freshApple (432),Apple,Healthy
332,FreshApple (74),Apple,Healthy
333,rotated_by_45_Screen Shot 2018-06-08 at 5.28.32 PM,Apple,Healthy
334,rotated_by_75_Screen Shot 2018-06-08 at 5.18.12 PM,Apple,Healthy
335,rotated_by_45_Screen Shot 2018-06-08 at 5.22.27 PM,Apple,Healthy
336,rotated_by_75_Screen Shot 2018-06-08 at 5.13.25 PM,Apple,Healthy
337,rotated_by_75_Screen Shot 2018-06-08 at 5.34.14 PM,Apple,Healthy
338,translation_Screen Shot 2018-06-08 at 5.01.41 PM,Apple,Healthy
339,freshApple (813),Apple,Healthy
340,rotated_by_15_Screen Shot 2018-06-08 at 5.05.18 PM,Apple,Healthy
341,Screen Shot 2018-06-08 at 5.11.59 PM,Apple,Healthy
342,saltandpepper_Screen Shot 2018-06-08 at 5.20.26 PM,Apple,Healthy
343,freshApple (811),Apple,Healthy
344,rotated_by_15_Screen Shot 2018-06-08 at 5.15.21 PM,Apple,Healthy
345,freshApple (747),Apple,Healthy
346,FreshApple (155),Apple,Healthy
347,freshApple (656),Apple,Healthy
348,rotated_by_15_Screen Shot 2018-06-08 at 5.21.40 PM,Apple,Healthy
349,rotated_by_75_Screen Shot 2018-06-08 at 5.11.08 PM,Apple,Healthy
350,vertical_flip_Screen Shot 2018-06-08 at 5.27.34 PM,Apple,Healthy
351,rotated_by_45_Screen Shot 2018-06-08 at 5.08.05 PM,Apple,Healthy
352,rotated_by_75_Screen Shot 2018-06-08 at 5.08.52 PM,Apple,Healthy
353,rotated_by_45_Screen Shot 2018-06-08 at 5.27.13 PM,Apple,Healthy
354,freshApple (658),Apple,Healthy
355,translation_Screen Shot 2018-06-08 at 5.18.26 PM,Apple,Healthy
356,Screen Shot 2018-06-08 at 5.14.07 PM,Apple,Healthy
357,rotated_by_75_Screen Shot 2018-06-08 at 5.13.02 PM,Apple,Healthy
358,vertical_flip_Screen Shot 2018-06-08 at 5.27.13 PM,Apple,Healthy
359,rotated_by_60_Screen Shot 2018-06-08 at 5.06.23 PM,Apple,Healthy
360,vertical_flip_Screen Shot 2018-06-08 at 5.32.33 PM,Apple,Healthy
361,rotated_by_15_Screen Shot 2018-06-08 at 5.26.36 PM,Apple,Healthy
362,freshApple (783),Apple,Healthy
363,freshApple (804),Apple,Healthy
364,translation_Screen Shot 2018-06-08 at 5.08.52 PM,Apple,Healthy
365,translation_Screen Shot 2018-06-08 at 5.12.29 PM,Apple,Healthy
366,vertical_flip_Screen Shot 2018-06-08 at 5.22.27 PM,Apple,Healthy
367,Screen Shot 2018-06-08 at 5.00.18 PM,Apple,Healthy
368,freshApple (631),Apple,Healthy
369,translation_Screen Shot 2018-06-08 at 5.19.35 PM,Apple,Healthy
370,rotated_by_45_Screen Shot 2018-06-08 at 5.14.07 PM,Apple,Healthy
371,rotated_by_30_Screen Shot 2018-06-08 at 5.33.18 PM,Apple,Healthy
372,rotated_by_60_Screen Shot 2018-06-08 at 5.22.58 PM,Apple,Healthy
373,rotated_by_60_Screen Shot 2018-06-08 at 5.07.52 PM,Apple,Healthy
374,freshApple (438),Apple,Healthy
375,freshApple (666),Apple,Healthy
376,Screen Shot 2018-06-08 at 5.05.48 PM,Apple,Healthy
377,vertical_flip_Screen Shot 2018-06-08 at 5.25.49 PM,Apple,Healthy
378,rotated_by_60_Screen Shot 2018-06-08 at 5.05.27 PM,Apple,Healthy
379,rotated_by_30_Screen Shot 2018-06-08 at 5.15.39 PM,Apple,Healthy
380,freshApple (651),Apple,Healthy
381,FreshApple (15),Apple,Healthy
382,translation_Screen Shot 2018-06-08 at 5.09.40 PM,Apple,Healthy
383,vertical_flip_Screen Shot 2018-06-08 at 5.26.52 PM,Apple,Healthy
384,rotated_by_60_Screen Shot 2018-06-08 at 4.59.49 PM,Apple,Healthy
385,translation_Screen Shot 2018-06-08 at 5.03.34 PM,Apple,Healthy
386,Screen Shot 2018-06-08 at 5.19.35 PM,Apple,Healthy
387,FreshApple (161),Apple,Healthy
388,rotated_by_30_Screen Shot 2018-06-08 at 5.09.47 PM,Apple,Healthy
389,rotated_by_75_Screen Shot 2018-06-08 at 5.09.54 PM,Apple,Healthy
390,vertical_flip_Screen Shot 2018-06-08 at 5.11.52 PM,Apple,Healthy
391,freshApple (449),Apple,Healthy
392,rotated_by_15_Screen Shot 2018-06-08 at 5.12.41 PM,Apple,Healthy
393,Screen Shot 2018-06-08 at 5.28.42 PM,Apple,Healthy
394,rotated_by_15_Screen Shot 2018-06-08 at 5.26.41 PM,Apple,Healthy
395,vertical_flip_Screen Shot 2018-06-08 at 5.28.04 PM,Apple,Healthy
